site,product_id,details,actual_price,our_price,discount,percentage,availability,date
flipkart,https://www.flipkart.com/nike-dart-12-msl-running-shoes-men/p/itmf3xw5rkxhkpj7,Nike DART 12 MSL Running Shoes For Men,4295,4295,0,0,TRUE,11/20/2018 12:46
flipkart,https://www.flipkart.com/whirlpool-265-l-frost-free-double-door-2-star-refrigerator/p/itmf3hzzgct5dmun,Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,23970,20490,3355.8,14,TRUE,11/20/2018 12:46
flipkart,https://www.flipkart.com/adidas-solid-men-black-sports-shorts/p/itmf7dyzwneksjgc,ADIDAS Solid Men Black Sports Shorts,1499,1499,0,0,TRUE,11/20/2018 12:46
flipkart,https://www.flipkart.com/nike-zoom-span-2-running-shoes-men/p/itmf3xvqrcavdzhw,Nike ZOOM SPAN 2 Running Shoes For Men,8495,4777,3652.85,43,TRUE,11/20/2018 12:46
amazon,B07D8VBYB4,Sujata Powermatic Plus + CH 900-Watt Juicer Mixer Grinder (White),6255,5196,1059,17,TRUE,11/20/2018 12:46
amazon,B075JLZ1GF,"Spacewood Joy Queen Size Bed (Woodpore Finish, Natural Wenge)",26128,11999,14129,54,TRUE,11/20/2018 12:46
amazon,B076CHMZQT,NIKE Men's Flex 2017 Rn Blue Running Shoes,7495,7495,0,0,TRUE,11/20/2018 12:47
amazon,B078HGLZ95,NIKE Men's Grey Ck Racer 2 Sports Running Shoes (AA2179-002),0,0,0,0,FALSE,11/20/2018 12:47
amazon,B0772GP9D7,Men's bicycle Short,1599,1599,0,0,TRUE,11/20/2018 12:47
amazon,B01NBWMH1X,Santic Cycling Shorts Biking Bicycle Bike Shorts Black Padded,12670,10185,2485,20,TRUE,11/20/2018 12:47
amazon,B01FMZKHQ4,"Sunline Alaska Deep Sea Fish Oil Omega 3 - 100 Softgels, 1000 Mg",999,499,500,50,TRUE,11/20/2018 12:47
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,396,396,0,0,TRUE,11/20/2018 12:47
amazon,B06XPB6LDJ,"Azani Mens Compression Tights. Sports Baselayer Leggings. Ideal for Running, Gym, Cycling, Yoga & More. Cool Dry Compression Sports Pants - Anthracite Black",1300,895,0,0,TRUE,11/20/2018 12:47
amazon,B000GIURIQ,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 2 lbs, 907 g (Delicious Strawberry)",3699,2996,703,19,TRUE,11/20/2018 12:47
amazon,B000GISU1M,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 5 lbs, 2.27 kg (Vanilla Ice Cream)",0,0,0,0,TRUE,11/20/2018 12:47
amazon,B078N8HR35,Protinex Vanilla Delight - 400 g,520,458,62,12,TRUE,11/20/2018 12:47
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,396,396,0,0,TRUE,11/20/2018 12:47
flipkart,https://www.flipkart.com/nike-dart-12-msl-running-shoes-men/p/itmf3xw5rkxhkpj7,Nike DART 12 MSL Running Shoes For Men,4295,4295,0,0,TRUE,11/20/2018 15:13
flipkart,https://www.flipkart.com/whirlpool-265-l-frost-free-double-door-2-star-refrigerator/p/itmf3hzzgct5dmun,Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,23970,20490,3355.8,14,TRUE,11/20/2018 15:13
flipkart,https://www.flipkart.com/adidas-solid-men-black-sports-shorts/p/itmf7dyzwneksjgc,ADIDAS Solid Men Black Sports Shorts,1499,1499,0,0,TRUE,11/20/2018 15:13
flipkart,https://www.flipkart.com/nike-zoom-span-2-running-shoes-men/p/itmf3xvqrcavdzhw,Nike ZOOM SPAN 2 Running Shoes For Men,8495,4777,3652.85,43,TRUE,11/20/2018 15:13
amazon,B07D8VBYB4,Sujata Powermatic Plus + CH 900-Watt Juicer Mixer Grinder (White),6255,5196,1059,17,TRUE,11/20/2018 15:13
amazon,B075JLZ1GF,"Spacewood Joy Queen Size Bed (Woodpore Finish, Natural Wenge)",26128,11999,14129,54,TRUE,11/20/2018 15:13
amazon,B076CHMZQT,NIKE Men's Flex 2017 Rn Blue Running Shoes,7495,7495,0,0,TRUE,11/20/2018 15:13
amazon,B078HGLZ95,NIKE Men's Grey Ck Racer 2 Sports Running Shoes (AA2179-002),0,0,0,0,FALSE,11/20/2018 15:14
amazon,B0772GP9D7,Men's bicycle Short,1599,1599,0,0,TRUE,11/20/2018 15:14
amazon,B01NBWMH1X,Santic Cycling Shorts Biking Bicycle Bike Shorts Black Padded,12670,10185,2485,20,TRUE,11/20/2018 15:14
amazon,B01FMZKHQ4,"Sunline Alaska Deep Sea Fish Oil Omega 3 - 100 Softgels, 1000 Mg",999,499,500,50,TRUE,11/20/2018 15:14
